"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","fetchdata","","0","0","1","0","0"
"","Example of a script","","3","0","0","0","0"
"","Login feature","","3","0","0","0","0"
